SN,Food（100 g）,Food（100 g）,Fiber， total dietary（单位：g）,Water（单位：g）,Protein（单位：g）,Sugars， total（单位：g）,Carbohydrate， by difference（单位：g）,Energy（单位：kcal）,Total lipid (fat)（单位：g）,Sodium， Na（单位：mg）,Potassium， K（单位：mg）,Zinc， Zn（单位：mg）,Iron， Fe（单位：mg）,Calcium， Ca（单位：mg）,Magnesium， Mg（单位：mg）,Phosphorus， P（单位：mg）,Vitamin D (D2 + D3)（单位：&micro;g）,Vitamin C， total ascorbic acid（单位：mg）,Vitamin B-6（单位：mg）,Vitamin A， RAE（单位：&micro;g）,Vitamin B-12（单位：&micro;g）,Folate， DFE（单位：&micro;g）,Niacin（单位：mg）,Riboflavin（单位：mg）,Thiamin（单位：mg）,Vitamin E (alpha-tocopherol)（单位：mg）,Vitamin K (phylloquinone)（单位：&micro;g）,Vitamin A， IU（单位：IU）,Vitamin D（单位：IU）,Cholesterol（单位：mg）,Fatty acids， total saturated（单位：g）,Fatty acids， total monounsaturated（单位：g）,Fatty acids， total trans（单位：g）,Fatty acids， total polyunsaturated（单位：g）,Caffeine（单位：mg）,URL,Category
1001,Butter， salted,黄油，盐渍,0,15.87,0.85,0.06,0.06,717,81.11,643,24,0.09,0.02,24,2,24,1.5,0,0.003,684,0.17,3,0.042,0.034,0.005,2.32,7,2499,60,215,51.368,21.021,3.278,3.043,0,http://ndb.nal.usda.gov/ndb/foods/show/1,Dairy and Egg Products
1002,Butter， whipped， with salt,黄油，鲜奶，盐,0,15.87,0.85,0.06,0.06,717,81.11,659,26,0.05,0.16,24,2,23,1.5,0,0.003,684,0.13,3,0.042,0.034,0.005,2.32,7,2499,60,219,50.489,23.426,n/a,3.012,0,http://ndb.nal.usda.gov/ndb/foods/show/2,Dairy and Egg Products
1003,Butter oil， anhydrous,黄油，无水,0,0.24,0.28,0,0,876,99.48,2,5,0.01,0,4,0,3,1.8,0,0.001,840,0.01,0,0.003,0.005,0.001,2.8,8.6,3069,73,256,61.924,28.732,n/a,3.694,0,http://ndb.nal.usda.gov/ndb/foods/show/3,Dairy and Egg Products
1004,Cheese， blue,奶酪，蓝,0,42.41,21.4,0.5,2.34,353,28.74,1146,256,2.66,0.31,528,23,387,0.5,0,0.166,198,1.22,36,1.016,0.382,0.029,0.25,2.4,721,21,75,18.669,7.778,n/a,0.8,0,http://ndb.nal.usda.gov/ndb/foods/show/4,Dairy and Egg Products
1005,Cheese， brick,奶酪，砖,0,41.11,23.24,0.51,2.79,371,29.68,560,136,2.6,0.43,674,24,451,0.5,0,0.065,292,1.26,20,0.118,0.351,0.014,0.26,2.5,1080,22,94,18.764,8.598,n/a,0.784,0,http://ndb.nal.usda.gov/ndb/foods/show/5,Dairy and Egg Products
1006,Cheese， brie,奶酪，布里,0,48.42,20.75,0.45,0.45,334,27.68,629,152,2.38,0.5,184,20,188,0.5,0,0.235,174,1.65,65,0.38,0.52,0.07,0.24,2.3,592,20,100,17.41,8.013,n/a,0.826,0,http://ndb.nal.usda.gov/ndb/foods/show/6,Dairy and Egg Products
1007,Cheese， camembert,乳酪，卡门贝干酪,0,51.8,19.8,0.46,0.46,300,24.26,842,187,2.38,0.33,388,20,347,0.4,0,0.227,241,1.3,62,0.63,0.488,0.028,0.21,2,820,18,72,15.259,7.023,n/a,0.724,0,http://ndb.nal.usda.gov/ndb/foods/show/7,Dairy and Egg Products
1008,Cheese， caraway,奶酪，香菜,0,39.28,25.18,n/a,3.06,376,29.2,690,93,2.94,0.64,673,22,490,n/a,0,0.074,271,0.27,18,0.18,0.45,0.031,n/a,n/a,1054,n/a,93,18.584,8.275,n/a,0.83,n/a,http://ndb.nal.usda.gov/ndb/foods/show/8,Dairy and Egg Products
1009,Cheese， cheddar,干酪，切达,0,37.1,24.04,0.28,1.33,406,33.82,644,76,3.43,0.16,675,27,473,0.6,0,0.049,263,0.88,26,0.039,0.434,0.027,0.78,2.9,994,24,102,19.368,8.428,1.179,1.433,0,http://ndb.nal.usda.gov/ndb/foods/show/9,Dairy and Egg Products
1010,Cheese， cheshire,奶酪，柴郡,0,37.65,23.37,n/a,4.78,387,30.6,700,95,2.79,0.21,643,21,464,n/a,0,0.074,233,0.83,18,0.08,0.293,0.046,n/a,n/a,985,n/a,103,19.475,8.671,n/a,0.87,n/a,http://ndb.nal.usda.gov/ndb/foods/show/10,Dairy and Egg Products
